id, ISIN,period,date_start,date_end,PL,perf,perfann,vol,maxDD
7,FR0000003964,2014,31/12/2013,31/12/2014,92.9300000000003,0.00391062745518855,0.00391062745518855,0.000171079031230866,0
7,FR0000003964,2015,31/12/2014,31/12/2015,38.369999999999,0.00160837478276243,0.00160837478276243,0.000101941110476524,0
7,FR0000003964,2016,31/12/2015,11/02/2016,1.09000000000015,0.0000456167149687214,0.000396500519217691,0.0000210432953382176,0
8,GB00B1VMCY93,Global,31/12/2010,11/02/2016,3.92,0.285714285714286,0.0503315441081065,0.0316605295948054,-0.0586979722518676
8,GB00B1VMCY93,2011,31/12/2010,30/12/2011,0.869999999999999,0.0634110787172011,0.0634110787172011,0.0446908093543623,-0.042156185210781
8,GB00B1VMCY93,2012,30/12/2011,31/12/2012,1.89,0.129540781357094,0.129540781357094,0.025570593930247,-0.0245478036175711
8,GB00B1VMCY93,2013,31/12/2012,31/12/2013,1.18,0.0716019417475728,0.0716019417475728,0.0367518373862417,-0.0476463834672791
8,GB00B1VMCY93,2014,31/12/2013,31/12/2014,0.829999999999998,0.0469988674971686,0.0469988674971686,0.0231645621464645,-0.0134989200863931
8,GB00B1VMCY93,2015,31/12/2014,31/12/2015,-0.299999999999997,-0.0162249864791778,-0.0162249864791778,0.0213268188345217,-0.0134989200863931
8,GB00B1VMCY93,2016,31/12/2015,11/02/2016,-0.550000000000001,-0.0302363936228698,-0.234191534851435,0.0256009747806005,-0.0362860192102454
9,LU0251130802,Global,31/12/2010,11/02/2016,3.69,0.277861445783133,0.0490749517067961,0.0391818330088237,-0.136428571428571
9,LU0251130802,2011,31/12/2010,30/12/2011,-0.389999999999999,-0.029367469879518,-0.029367469879518,0.0595993771313661,-0.136428571428571
9,LU0251130802,2012,30/12/2011,31/12/2012,2.88,0.223429014740109,0.223429014740109,0.0299727068254104,-0.0325318246110325
9,LU0251130802,2013,31/12/2012,31/12/2013,1.42,0.0900443880786304,0.0900443880786304,0.0267104510946001,-0.0427710843373494
9,LU0251130802,2014,31/12/2013,31/12/2014,0.379999999999999,0.0221058755090169,0.0221058755090169,0.0249706688398459,-0.049781181619256
9,LU0251130802,2015,31/12/2014,31/12/2015,0.16,0.00910643141718848,0.00910643141718848,0.0403905213794609,-0.049781181619256
9,LU0251130802,2016,31/12/2015,11/02/2016,-0.760000000000002,-0.0428652002256064,-0.316643645996639,0.0487056211745195,-0.0362438220757826
10,FR0010204552,Global,31/12/2010,11/02/2016,83.25,0.172146401985112,0.0315226992722129,0.0578579772243012,-0.177461089112793
10,FR0010204552,2011,31/12/2010,30/12/2011,-58.02,-0.119975186104218,-0.119975186104218,0.0778221198996392,-0.177461089112793
10,FR0010204552,2012,30/12/2011,31/12/2012,71.1,0.167066121528267,0.167066121528267,0.0474669064305408,-0.0517186471624806
10,FR0010204552,2013,31/12/2012,31/12/2013,62.77,0.126379157606507,0.126379157606507,0.042554803962623,-0.0314944187106082
10,FR0010204552,2014,31/12/2013,31/12/2014,4.05999999999995,0.00725712753597274,0.00725712753597274,0.0500619104264519,-0.0855366805945613
10,FR0010204552,2015,31/12/2014,31/12/2015,20.14,0.0357402708026477,0.0357402708026477,0.0615325961719377,-0.0855366805945613
10,FR0010204552,2016,31/12/2015,11/02/2016,-16.8,-0.0287843741968645,-0.224169131962563,0.070845192305786,-0.0645214142936724
11,LU0107852195,Global,31/12/2010,11/02/2016,-8.56999999999999,-0.0385914351330661,-0.00766048231513838,0.0932121272090478,-0.201301859264524
11,LU0107852195,2011,31/12/2010,30/12/2011,-4.28999999999999,-0.0193182329895979,-0.0193182329895979,0.0930340062293466,-0.0838567977157918
11,LU0107852195,2012,30/12/2011,31/12/2012,33.55,0.154054550463771,0.154054550463771,0.0668889248529283,-0.0513914438921288
11,LU0107852195,2013,31/12/2012,31/12/2013,-34.78,-0.13838379819361,-0.13838379819361,0.0848619795964824,-0.173937958435208
11,LU0107852195,2014,31/12/2013,31/12/2014,22.56,0.104179173401062,0.104179173401062,0.0770542056342825,-0.0822134708294425
11,LU0107852195,2015,31/12/2014,31/12/2015,-16.12,-0.067416670151813,-0.067416670151813,0.125459185276293,-0.0822134708294425
11,LU0107852195,2016,31/12/2015,11/02/2016,-9.49000000000001,-0.0425579622404593,-0.314734985344013,0.143658250548822,-0.18888182260297
12,FondsEuro123,Global,31/12/2010,11/02/2016,619.091510443731,0.145928859104881,0.0269733602802844,0.0170881066328178,0
12,FondsEuro123,2011,31/12/2010,30/12/2011,148.228806309564,0.0349396821412222,0.0349396821412222,0.0130098021880528,0
12,FondsEuro123,2012,30/12/2011,31/12/2012,162.815354107592,0.0370822995165585,0.0370822995165585,0.0189026308123291,0
12,FondsEuro123,2013,31/12/2012,31/12/2013,162.241450829002,0.0356303344252387,0.0356303344252387,0.0224389938520422,0
12,FondsEuro123,2014,31/12/2013,31/12/2014,132.355669149665,0.0280669914665621,0.0280669914665621,0.0215487818743389,0
12,FondsEuro123,2015,31/12/2014,31/12/2015,12.0869059426486,0.00249314215385943,0.00249314215385943,0.0000873844414628983,0
12,FondsEuro123,2016,31/12/2015,11/02/2016,1.36332410525938,0.000280510810162449,0.00244040361913989,0.000104719044516014,0
20,FR0010315770,Global,31/12/2010,11/02/2016,30.88,0.320033164058452,0.0557517583801066,0.156263785204186,-0.245527781068594
20,FR0010315770,2011,31/12/2010,30/12/2011,-5.39999999999999,-0.0559643486371644,-0.0559643486371644,0.177234297914356,-0.213844621513944
20,FR0010315770,2012,30/12/2011,31/12/2012,9.27,0.101767482709408,0.101767482709408,0.116259634771748,-0.0772055175151335
20,FR0010315770,2013,31/12/2012,31/12/2013,19.58,0.195097648465524,0.195097648465524,0.11889719391137,-0.104380475594493
20,FR0010315770,2014,31/12/2013,31/12/2014,21.34,0.177922294480574,0.177922294480574,0.126395771096788,-0.0854574922646236
20,FR0010315770,2015,31/12/2014,31/12/2015,11.78,0.0833805209513023,0.0833805209513023,0.201330942991287,-0.0854574922646236
20,FR0010315770,2016,31/12/2015,11/02/2016,-25.69,-0.167842676074742,-0.797442991420805,0.275525140669431,-0.191624215140386
21,FR0010028860,Global,31/12/2010,11/02/2016,43.96,0.334627388292609,0.0580224115639736,0.0406740447915756,-0.0683376336159234
21,FR0010028860,2011,31/12/2010,30/12/2011,1.78999999999999,0.0136256375123696,0.0136256375123696,0.0532406410509412,-0.0683376336159234
21,FR0010028860,2012,30/12/2011,31/12/2012,14.03,0.10536197056173,0.10536197056173,0.0412327492651245,-0.0243867553457772
21,FR0010028860,2013,31/12/2012,31/12/2013,3,0.0203818194170799,0.0203818194170799,0.0316714595804925,-0.0411373658921872
21,FR0010028860,2014,31/12/2013,31/12/2014,19.63,0.130701111924895,0.130701111924895,0.0264431517416674,-0.0099177552007742
21,FR0010028860,2015,31/12/2014,31/12/2015,2.44,0.0143681545165468,0.0143681545165468,0.0459105915490489,-0.0099177552007742
21,FR0010028860,2016,31/12/2015,11/02/2016,3.07000000000002,0.0178218971322421,0.165927397555333,0.0303270633542078,-0.0610738633162432
18,US2267181046,Global,30/10/2013,11/02/2016,3.6388,0.141590303313294,0.0596668865269048,0.594488277748826,-0.55796755038215
18,US2267181046,2014,30/10/2013,31/12/2014,7.7039,0.299768477985953,0.299768477985953,0.65624179259779,-0.544044375606479
18,US2267181046,2015,31/12/2014,31/12/2015,3.04940000000001,0.0912901081925794,0.0912901081925794,0.464902302732923,-0.400206193879843
18,US2267181046,2016,31/12/2015,11/02/2016,-7.1145,-0.19517019268753,-0.848461385567692,1.01207587385676,-0.368385967607427
